"DJ"	"DAS"	"sim"	"Expe"	"Type"
952	69	625.797939334361	"SILIGOOT"	"monocrop_vigo"
959	70	625.864629722088	"SILIGOOT"	"monocrop_vigo"
967	71	625.931708847192	"SILIGOOT"	"monocrop_vigo"
976	72	625.997001308807	"SILIGOOT"	"monocrop_vigo"
980	73	626.022953828525	"SILIGOOT"	"monocrop_vigo"
983	74	626.041288338823	"SILIGOOT"	"monocrop_vigo"
988	75	626.069835340481	"SILIGOOT"	"monocrop_vigo"
993	76	626.096047649681	"SILIGOOT"	"monocrop_vigo"
998	77	626.120116035019	"SILIGOOT"	"monocrop_vigo"
1001	78	626.133601477942	"SILIGOOT"	"monocrop_vigo"
1003	79	626.14221570436	"SILIGOOT"	"monocrop_vigo"
1003	80	626.14221570436	"SILIGOOT"	"monocrop_vigo"
1004	81	626.146413790756	"SILIGOOT"	"monocrop_vigo"
1009	82	626.166362229869	"SILIGOOT"	"monocrop_vigo"
1016	83	626.191578632988	"SILIGOOT"	"monocrop_vigo"
1021	84	626.207832073919	"SILIGOOT"	"monocrop_vigo"
1026	85	626.222755678582	"SILIGOOT"	"monocrop_vigo"
1034	86	626.244135477434	"SILIGOOT"	"monocrop_vigo"
1043	87	626.264942822989	"SILIGOOT"	"monocrop_vigo"
1053	88	626.284604720483	"SILIGOOT"	"monocrop_vigo"
1064	89	626.302687258382	"SILIGOOT"	"monocrop_vigo"
1075	90	626.317672966388	"SILIGOOT"	"monocrop_vigo"
1082	91	626.325843508851	"SILIGOOT"	"monocrop_vigo"
1089	92	626.333093393533	"SILIGOOT"	"monocrop_vigo"
1097	93	626.34038414853	"SILIGOOT"	"monocrop_vigo"
1104	94	626.345995539332	"SILIGOOT"	"monocrop_vigo"
1108	95	626.348913380429	"SILIGOOT"	"monocrop_vigo"
1109	96	626.349612221388	"SILIGOOT"	"monocrop_vigo"
1115	97	626.353563633939	"SILIGOOT"	"monocrop_vigo"
1121	98	626.357130162803	"SILIGOOT"	"monocrop_vigo"
1131	99	626.362319229595	"SILIGOOT"	"monocrop_vigo"
1140	100	626.366288957618	"SILIGOOT"	"monocrop_vigo"
1150	101	626.370039955252	"SILIGOOT"	"monocrop_vigo"
1160	102	626.373201979352	"SILIGOOT"	"monocrop_vigo"
1170	103	626.375867504651	"SILIGOOT"	"monocrop_vigo"
1180	104	626.378114487758	"SILIGOOT"	"monocrop_vigo"
1188	105	626.379655246502	"SILIGOOT"	"monocrop_vigo"
1197	106	626.381154657035	"SILIGOOT"	"monocrop_vigo"
1207	107	626.382571439794	"SILIGOOT"	"monocrop_vigo"
1215	108	626.383542927092	"SILIGOOT"	"monocrop_vigo"
1224	109	626.384488341603	"SILIGOOT"	"monocrop_vigo"
0	0	0	"SILIGOOT"	"monocrop_faba"
-1	0	0	"SILIGOOT"	"monocrop_faba"
-2	0	0	"SILIGOOT"	"monocrop_faba"
-3	0	0	"SILIGOOT"	"monocrop_faba"
-4	0	0	"SILIGOOT"	"monocrop_faba"
-5	0	0	"SILIGOOT"	"monocrop_faba"
19	1	0	"SILIGOOT"	"monocrop_faba"
35	2	0	"SILIGOOT"	"monocrop_faba"
49	3	0	"SILIGOOT"	"monocrop_faba"
